source_path	component_id	category	transform	d4_action	d5_action	ownership_note
.bash_profile	shell-base	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.bashrc	shell-base	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles
.config/agent-rules/README.md	agent-rules	docs	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/agent-rules/maintenance.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/dotfiles/operations.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/dotfiles/ownership-and-extraction.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/dotfiles/schema-associations.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/dotfiles/testing.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/engineering/background-process-lifecycle.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/engineering/generated-artifacts.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/engineering/investigation.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/engineering/transactional-state.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/git/conflict-resolution.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
.config/agent-rules/playbooks.d/git/github-pr-lifecycle.md	agent-rules	config	keep	keep	keep	owner=dotfiles; source=locked-dotfiles; agent=base-rule
