repository	destination_path	component_id	category	origin	available_by	ownership_note
dotfiles	.bash_profile	shell-base	config	old:.bash_profile	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.bashrc	shell-base	config	old:.bashrc	bootstrap	owner=dotfiles; source=locked-dotfiles; family=base
dotfiles	.config/agent-rules/playbooks.d/agent-rules/maintenance.md	agent-rules	config	old:.config/agent-rules/playbooks.d/agent-rules/maintenance.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/playbooks.d/dotfiles/operations.md	agent-rules	config	old:.config/agent-rules/playbooks.d/dotfiles/operations.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/playbooks.d/dotfiles/ownership-and-extraction.md	agent-rules	config	old:.config/agent-rules/playbooks.d/dotfiles/ownership-and-extraction.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/playbooks.d/dotfiles/schema-associations.md	agent-rules	config	old:.config/agent-rules/playbooks.d/dotfiles/schema-associations.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/playbooks.d/dotfiles/testing.md	agent-rules	config	old:.config/agent-rules/playbooks.d/dotfiles/testing.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/playbooks.d/engineering/background-process-lifecycle.md	agent-rules	config	old:.config/agent-rules/playbooks.d/engineering/background-process-lifecycle.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/playbooks.d/engineering/generated-artifacts.md	agent-rules	config	old:.config/agent-rules/playbooks.d/engineering/generated-artifacts.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/playbooks.d/engineering/investigation.md	agent-rules	config	old:.config/agent-rules/playbooks.d/engineering/investigation.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/playbooks.d/engineering/transactional-state.md	agent-rules	config	old:.config/agent-rules/playbooks.d/engineering/transactional-state.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/playbooks.d/git/conflict-resolution.md	agent-rules	config	old:.config/agent-rules/playbooks.d/git/conflict-resolution.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
dotfiles	.config/agent-rules/playbooks.d/git/github-pr-lifecycle.md	agent-rules	config	old:.config/agent-rules/playbooks.d/git/github-pr-lifecycle.md	bootstrap	owner=dotfiles; source=locked-dotfiles; agent=base-rule; family=base
